# Simulation 2 (Up to date),,,,,,,,,,,,,,vlookup value due max AoA,0,#N/A,#N/A,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 456 data points written for 54 variables.,,,,,,,,,,,,,,powered flight max,8.753,0.000178,19.121,3.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Tiempo (s),Altitud (m),Velocidad vertical (m/s),Aceleración vertical (m/s²),Velocidad total (m/s),Aceleración total (m/s²),Posición al este del lanzamiento (m),Posición al norte del lanzamiento (m),Distancia lateral (m),Dirección lateral (°),Velocidad horizontal (m/s),Aceleración horizontal (m/s²),Latitud (°),Longitud (°),Aceleración gravitacional (m/s²),Ángulo de ataque (°),Tasa de rotación (°/s),Tasa de cabeceo (°/s),Tasa de guiñada (°/s),Masa (g),Masa del propulsor (g),Momento de inercia longitudinal (kg·m²),Momento de inercia rotacional (kg·m²),Situación del CP (cm),Situación del CG (cm),Margen de estabilidad en Calibres (​),Número Mach (​),Número de Reynolds (​),Empuje (N),Fuerza de rozamiento (N),Coeficiente de rozamiento (​),Coeficiente de rozamiento axial (​),Coeficiente de rozamiento por fricción (​),Presión del Coeficiente de rozamiento (​),Coeficiente de rozamiento base (​),Coeficiente de rozamiento normal (​),Coeficiente del momento del cabeceo (​),Coeficiente del momento de guiñada (​),Coeficiente de la fuerza lateral (​),Coeficiente del momento de rotación (​),Coeficiente de la fuerza de rotación (​),Coeficiente de amortiguación de la rotación (​),Coeficiente de amortiguación del cabeceo (​),Aceleración Coriolis (m/s²),Longitud de referencia  (cm),Área de referencia (cm²),Orientación vertical (zenit) (°),Orientación lateral (azimut) (°),Velocidad del viento (m/s),Temperatura del aire (°C),Presión del aire (mbar),Velocidad del sonido (m/s),Intervalos de tiempo en la Simulación (s),Cálculo del tiempo (s)
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.81,933.497,46.547,-10.611,46.929,10.611,64.629,0.017,64.629,0.015,5.974,0.006,20,-103.599,9.779,0.65,2.40E-06,-1.618,-0.011,3125.288,245.056,0.148,0.003,74.998,60.905,1.762,0.143,2.93E+06,0,2.545,0.463,0.463,0.279,0.061,0.123,0.094,0.167,4.96E-04,0,0,0,0,-1.10E-04,0.006,8,50.265,79.323,0.031,2.255,0.157,767.665,331.394,0.05,0.067
9.86,935.811,46.017,-10.588,46.403,10.588,64.927,0.017,64.927,0.015,5.974,0.02,20,-103.599,9.779,0.55,-3.65E-06,-0.287,-0.008,3125.288,245.056,0.148,0.003,75.073,60.905,1.771,0.141,2.89E+06,0,2.487,0.462,0.463,0.279,0.061,0.123,0.079,0.141,-3.08E-04,0,0,0,0,-3.56E-06,0.006,8,50.265,79.277,0.029,2.284,0.142,767.442,331.385,0.05,0.068
9.91,938.098,45.489,-10.559,45.879,10.559,65.226,0.017,65.226,0.015,5.972,0.074,20,-103.599,9.779,0.325,-2.28E-06,0.611,-0.006,3125.288,245.056,0.148,0.003,75.244,60.905,1.792,0.14,2.86E+06,0,2.432,0.462,0.463,0.279,0.061,0.123,0.047,0.083,-2.51E-04,0,0,0,0,1.64E-05,0.006,8,50.265,79.288,0.027,2.368,0.127,767.222,331.376,0.05,0.068
9.96,940.36,44.961,-10.535,45.356,10.535,65.525,0.018,65.525,0.015,5.967,0.106,20,-103.599,9.779,0.179,-1.87E-06,1.127,-0.009,3125.288,245.056,0.148,0.003,75.356,60.905,1.806,0.138,2.83E+06,0,2.376,0.462,0.462,0.279,0.061,0.122,0.026,0.046,6.78E-06,0,0,0,0,5.71E-05,0.006,8,50.265,79.333,0.024,2.357,0.113,767.004,331.367,0.05,0.068
10.01,942.594,44.435,-10.514,44.833,10.514,65.823,0.018,65.823,0.016,5.962,0.122,20,-103.599,9.779,0.091,0,1.434,-0.015,3125.288,245.056,0.148,0.003,75.424,60.905,1.815,0.136,2.80E+06,0,2.32,0.462,0.462,0.279,0.061,0.122,0.013,0.023,-2.23E-04,0,0,0,0,9.47E-05,0.006,8,50.265,79.398,0.022,2.283,0.098,766.789,331.358,0.05,0.068
10.06,944.803,43.91,-10.489,44.312,10.49,66.121,0.018,66.121,0.016,5.954,0.16,20,-103.599,9.779,0.098,-2.25E-06,-1.425,-0.006,3125.288,245.056,0.148,0.003,75.418,60.905,1.814,0.135,2.76E+06,0,2.266,0.462,0.462,0.279,0.061,0.122,0.014,0.025,1.32E-05,0,0,0,0,-9.57E-05,0.006,8,50.265,79.471,0.019,2.285,0.084,766.576,331.35,0.05,0.068
10.11,946.986,43.386,-10.465,43.792,10.467,66.418,0.018,66.418,0.016,5.945,0.196,20,-103.599,9.779,0.285,-3.66E-06,-1.015,0.003,3125.288,245.056,0.148,0.003,75.271,60.905,1.796,0.133,2.73E+06,0,2.214,0.462,0.462,0.279,0.061,0.122,0.041,0.074,3.87E-04,0,0,0,0,-4.97E-05,0.006,8,50.265,79.534,0.017,2.294,0.07,766.366,331.341,0.05,0.068
10.16,949.142,42.863,-10.445,43.272,10.447,66.715,0.018,66.715,0.016,5.935,0.216,20,-103.599,9.779,0.4,-2.35E-06,-0.456,-2.11E-04,3125.288,245.056,0.148,0.003,75.181,60.905,1.785,0.132,2.70E+06,0,2.162,0.462,0.462,0.279,0.061,0.122,0.057,0.103,8.78E-05,0,0,0,0,-1.03E-05,0.006,8,50.265,79.571,0.015,2.263,0.056,766.159,331.333,0.05,0.069
10.21,951.272,42.342,-10.419,42.754,10.422,67.012,0.019,67.012,0.016,5.923,0.274,20,-103.599,9.779,0.699,-2.69E-06,0.68,0.003,3125.288,245.056,0.148,0.003,74.953,60.905,1.756,0.13,2.67E+06,0,2.115,0.462,0.463,0.279,0.061,0.122,0.102,0.178,-8.40E-05,0,0,0,0,2.34E-05,0.006,8,50.265,79.568,0.014,2.411,0.042,765.954,331.324,0.05,0.069
10.26,953.376,41.821,-10.405,42.237,10.408,67.307,0.019,67.308,0.016,5.91,0.257,20,-103.599,9.779,0.643,-1.15E-06,1.759,0.005,3125.288,245.056,0.148,0.003,74.995,60.905,1.761,0.129,2.64E+06,0,2.062,0.462,0.462,0.279,0.061,0.122,0.093,0.164,4.76E-04,0,0,0,0,1.60E-04,0.006,8,50.265,79.506,0.014,2.322,0.028,765.751,331.316,0.05,0.069
10.31,955.454,41.302,-10.383,41.72,10.387,67.603,0.019,67.603,0.016,5.896,0.292,20,-103.599,9.779,0.836,-2.09E-06,3.168,-4.07E-04,3125.288,245.056,0.148,0.003,74.85,60.905,1.743,0.127,2.60E+06,0,2.017,0.462,0.463,0.279,0.061,0.122,0.122,0.212,-4.56E-04,0,0,0,0,5.32E-04,0.006,8,50.265,79.384,0.015,2.473,0.015,765.551,331.308,0.05,0.069
10.36,957.506,40.783,-10.373,41.205,10.376,67.897,0.019,67.897,0.016,5.882,0.252,20,-103.599,9.779,0.662,-4.34E-06,4.383,-4.40E-04,3125.288,245.056,0.148,0.003,74.978,60.905,1.759,0.126,2.57E+06,0,1.964,0.462,0.462,0.279,0.061,0.122,0.096,0.168,-6.91E-05,0,0,0,0,0.001,0.006,8,50.265,79.193,0.017,2.391,0.001,765.354,331.3,0.05,0.069
10.41,959.532,40.264,-10.36,40.69,10.363,68.191,0.019,68.191,0.016,5.87,0.232,20,-103.599,9.779,0.581,3.41E-06,5.428,-0.001,3125.288,245.056,0.148,0.003,75.039,60.905,1.767,0.124,2.54E+06,0,1.916,0.462,0.462,0.279,0.061,0.122,0.084,0.146,3.87E-04,0,0,0,0,0.002,0.006,8,50.265,78.947,0.02,2.42,-0.012,765.158,331.292,0.05,0.07
10.46,961.533,39.747,-10.348,40.176,10.35,68.484,0.019,68.484,0.016,5.859,0.213,20,-103.599,9.779,0.493,-1.45E-05,6.26,-0.007,3125.288,245.056,0.148,0.003,75.104,60.905,1.775,0.123,2.51E+06,0,1.868,0.462,0.462,0.279,0.061,0.122,0.071,0.124,3.91E-04,0,0,0,0,0.002,0.006,8,50.265,78.653,0.022,2.473,-0.025,764.966,331.284,0.05,0.07
10.51,963.507,39.23,-10.334,39.663,10.336,68.777,0.02,68.777,0.016,5.848,0.206,20,-103.599,9.779,0.464,-1.67E-05,7.064,-0.014,3125.288,245.056,0.148,0.003,75.126,60.905,1.778,0.121,2.48E+06,0,1.824,0.462,0.462,0.279,0.06,0.122,0.067,0.116,-1.26E-04,0,0,0,0,0.003,0.005,8,50.265,78.319,0.025,2.594,-0.038,764.776,331.276,0.05,0.07
10.56,965.456,38.713,-10.327,39.151,10.328,69.069,0.02,69.069,0.016,5.839,0.167,20,-103.599,9.779,0.253,1.05E-05,7.543,-0.028,3125.288,245.056,0.148,0.003,75.288,60.905,1.798,0.12,2.45E+06,0,1.776,0.462,0.462,0.279,0.06,0.122,0.036,0.061,1.89E-04,0,0,0,0,0.003,0.005,8,50.265,77.953,0.027,2.6,-0.05,764.588,331.268,0.05,0.07
10.61,967.378,38.197,-10.315,38.64,10.316,69.361,0.02,69.361,0.016,5.831,0.153,20,-103.599,9.779,0.168,-1.66E-05,7.928,-0.06,3125.288,245.056,0.148,0.003,75.353,60.905,1.806,0.118,2.42E+06,0,1.733,0.461,0.462,0.279,0.06,0.122,0.024,0.039,-8.44E-05,0,0,0,0,0.004,0.005,8,50.265,77.565,0.028,2.709,-0.063,764.403,331.261,0.05,0.07
10.66,969.275,37.681,-10.316,38.129,10.316,69.652,0.02,69.652,0.017,5.825,0.082,20,-103.599,9.779,0.261,-6.49E-06,-7.781,-0.033,3125.288,245.056,0.148,0.003,75.279,60.905,1.797,0.117,2.38E+06,0,1.685,0.461,0.462,0.279,0.06,0.122,0.037,0.071,2.93E-04,0,0,0,0,-0.004,0.005,8,50.265,77.17,0.03,2.574,-0.075,764.221,331.253,0.05,0.071
10.71,971.146,37.166,-10.313,37.619,10.313,69.943,0.02,69.943,0.017,5.822,0.031,20,-103.599,9.779,0.589,-8.39E-06,-7.209,-0.012,3125.288,245.056,0.148,0.003,75.028,60.905,1.765,0.115,2.35E+06,0,1.641,0.461,0.462,0.279,0.06,0.122,0.085,0.154,3.55E-04,0,0,0,0,-0.003,0.005,8,50.265,76.793,0.031,2.496,-0.087,764.041,331.246,0.05,0.071
10.76,972.992,36.65,-10.316,37.109,10.316,70.234,0.02,70.234,0.017,5.823,0.038,20,-103.599,9.779,1.028,-5.51E-06,-5.991,-0.004,3125.288,245.056,0.148,0.003,74.7,60.905,1.724,0.113,2.32E+06,0,1.597,0.461,0.463,0.279,0.06,0.122,0.151,0.263,9.33E-05,0,0,0,0,-0.002,0.005,8,50.265,76.461,0.032,2.308,-0.099,763.863,331.239,0.05,0.071
10.81,974.811,36.134,-10.305,36.601,10.305,70.526,0.021,70.526,0.017,5.825,0.046,20,-103.599,9.779,1.102,-2.92E-06,-4.607,-0.007,3125.288,245.056,0.148,0.003,74.645,60.905,1.717,0.112,2.29E+06,0,1.555,0.461,0.463,0.279,0.06,0.122,0.162,0.28,2.00E-04,0,0,0,0,-0.001,0.005,8,50.265,76.196,0.032,2.32,-0.111,763.688,331.231,0.05,0.071
10.86,976.605,35.619,-10.295,36.093,10.295,70.817,0.021,70.817,0.017,5.828,0.06,20,-103.599,9.779,1.213,-5.69E-06,-3.022,-0.004,3125.288,245.056,0.148,0.003,74.564,60.905,1.707,0.11,2.25E+06,0,1.513,0.461,0.463,0.279,0.06,0.122,0.179,0.307,2.14E-04,0,0,0,0,-6.44E-04,0.005,8,50.265,76.005,0.032,2.252,-0.123,763.515,331.224,0.05,0.071
10.91,978.373,35.105,-10.271,35.586,10.271,71.108,0.021,71.108,0.017,5.829,0.019,20,-103.599,9.779,0.96,-7.61E-06,-1.698,-0.004,3125.288,245.056,0.148,0.003,74.748,60.905,1.73,0.109,2.22E+06,0,1.471,0.461,0.462,0.279,0.06,0.122,0.141,0.243,1.45E-04,0,0,0,0,-2.09E-04,0.005,8,50.265,75.889,0.031,2.374,-0.134,763.345,331.217,0.05,0.071
10.96,980.116,34.592,-10.254,35.08,10.254,71.4,0.021,71.4,0.017,5.83,0.006,20,-103.599,9.779,0.877,-5.23E-06,-0.529,-0.006,3125.288,245.056,0.148,0.003,74.808,60.905,1.738,0.107,2.19E+06,0,1.429,0.461,0.462,0.279,0.06,0.121,0.128,0.222,-1.35E-04,0,0,0,0,-2.08E-05,0.005,8,50.265,75.834,0.03,2.34,-0.146,763.177,331.211,0.05,0.072
11.01,981.833,34.08,-10.23,34.575,10.23,71.691,0.021,71.691,0.017,5.83,0.035,20,-103.599,9.779,0.579,-4.89E-06,0.389,-0.006,3125.288,245.056,0.148,0.003,75.03,60.905,1.766,0.106,2.16E+06,0,1.388,0.461,0.461,0.279,0.06,0.121,0.084,0.148,-1.23E-04,0,0,0,0,1.16E-05,0.005,8,50.265,75.832,0.029,2.409,-0.157,763.012,331.204,0.05,0.072
11.06,983.524,33.569,-10.2,34.071,10.2,71.983,0.022,71.983,0.017,5.826,0.109,20,-103.599,9.779,0.013,-5.70E-06,0.709,0.022,3125.288,245.056,0.148,0.003,75.467,60.905,1.82,0.105,2.13E+06,0,1.351,0.461,0.461,0.279,0.06,0.121,0.002,0.003,2.27E-04,0,0,0,0,3.94E-05,0.005,8,50.265,75.863,0.027,2.623,-0.168,762.849,331.197,0.05,0.072
11.11,985.189,33.06,-10.177,33.568,10.178,72.274,0.022,72.274,0.017,5.819,0.149,20,-103.599,9.779,0.334,-5.14E-06,-0.474,0.011,3125.288,245.056,0.148,0.003,75.216,60.905,1.789,0.103,2.11E+06,0,1.314,0.461,0.461,0.279,0.06,0.121,0.048,0.086,-3.32E-04,0,0,0,0,-1.82E-05,0.005,8,50.265,75.895,0.025,2.695,-0.179,762.689,331.191,0.05,0.072
11.16,986.83,32.551,-10.165,33.066,10.166,72.565,0.022,72.565,0.017,5.812,0.145,20,-103.599,9.779,0.335,-4.46E-06,-0.149,0.008,3125.288,245.056,0.148,0.003,75.215,60.905,1.789,0.101,2.07E+06,0,1.274,0.461,0.461,0.279,0.06,0.121,0.048,0.086,3.71E-04,0,0,0,0,-1.85E-06,0.005,8,50.265,75.91,0.023,2.56,-0.189,762.531,331.184,0.05,0.072
11.21,988.445,32.043,-10.149,32.565,10.15,72.855,0.022,72.855,0.017,5.804,0.158,20,-103.599,9.779,0.481,-4.62E-06,0.329,0.009,3125.288,245.056,0.148,0.003,75.101,60.905,1.775,0.1,2.04E+06,0,1.236,0.461,0.461,0.279,0.06,0.121,0.069,0.123,-2.52E-04,0,0,0,0,9.28E-06,0.004,8,50.265,75.906,0.021,2.528,-0.2,762.376,331.178,0.05,0.073
11.26,990.034,31.536,-10.14,32.064,10.141,73.145,0.022,73.145,0.017,5.797,0.142,20,-103.599,9.779,0.384,-5.22E-06,0.789,0.009,3125.288,245.056,0.148,0.003,75.175,60.905,1.784,0.098,2.01E+06,0,1.196,0.461,0.461,0.279,0.06,0.121,0.055,0.098,2.18E-04,0,0,0,0,5.52E-05,0.004,8,50.265,75.878,0.02,2.362,-0.21,762.223,331.172,0.05,0.073
11.31,991.598,31.029,-10.13,31.565,10.131,73.435,0.022,73.435,0.018,5.79,0.13,20,-103.599,9.779,0.319,-3.60E-06,1.068,0.012,3125.288,245.056,0.148,0.003,75.225,60.905,1.79,0.097,1.98E+06,0,1.157,0.461,0.461,0.279,0.06,0.121,0.046,0.081,-3.36E-05,0,0,0,0,1.04E-04,0.004,8,50.265,75.831,0.019,2.227,-0.22,762.072,331.165,0.05,0.073
11.36,993.137,30.523,-10.109,31.066,10.11,73.724,0.023,73.724,0.018,5.782,0.173,20,-103.599,9.779,0.726,-2.99E-06,1.646,0.007,3125.288,245.056,0.148,0.003,74.914,60.905,1.751,0.095,1.95E+06,0,1.126,0.461,0.461,0.279,0.06,0.121,0.106,0.185,2.69E-05,0,0,0,0,2.55E-04,0.004,8,50.265,75.764,0.018,2.376,-0.23,761.924,331.159,0.05,0.073
11.41,994.651,30.018,-10.097,30.568,10.099,74.013,0.023,74.013,0.018,5.774,0.172,20,-103.599,9.779,0.764,-2.04E-06,2.347,0.008,3125.288,245.056,0.148,0.003,74.885,60.905,1.747,0.094,1.92E+06,0,1.09,0.461,0.461,0.279,0.06,0.121,0.111,0.194,2.41E-04,0,0,0,0,5.36E-04,0.004,8,50.265,75.665,0.018,2.326,-0.24,761.778,331.153,0.05,0.073
11.46,996.139,29.514,-10.087,30.071,10.088,74.301,0.023,74.301,0.018,5.765,0.165,20,-103.599,9.779,0.74,-5.68E-06,3.016,0.007,3125.288,245.056,0.148,0.003,74.903,60.905,1.75,0.092,1.88E+06,0,1.054,0.461,0.461,0.279,0.06,0.121,0.108,0.187,-7.62E-05,0,0,0,0,9.14E-04,0.004,8,50.265,75.53,0.018,2.259,-0.25,761.635,331.147,0.05,0.073
11.51,997.602,29.009,-10.076,29.575,10.077,74.589,0.023,74.589,0.018,5.757,0.165,20,-103.599,9.779,0.784,-4.91E-06,3.713,0.006,3125.288,245.056,0.148,0.003,74.869,60.905,1.745,0.091,1.85E+06,0,1.021,0.46,0.461,0.279,0.06,0.121,0.114,0.198,2.88E-04,0,0,0,0,0.001,0.004,8,50.265,75.362,0.019,2.246,-0.259,761.494,331.142,0.05,0.073
11.56,999.04,28.506,-10.068,29.08,10.069,74.877,0.023,74.877,0.018,5.749,0.148,20,-103.599,9.779,0.659,-5.47E-06,4.319,0.009,3125.288,245.056,0.148,0.003,74.963,60.905,1.757,0.089,1.82E+06,0,0.986,0.46,0.461,0.279,0.06,0.121,0.095,0.165,-3.92E-05,0,0,0,0,0.002,0.004,8,50.265,75.161,0.02,2.155,-0.269,761.356,331.136,0.05,0.074
11.61,1000.452,28.003,-10.06,28.585,10.061,75.164,0.024,75.164,0.018,5.742,0.135,20,-103.599,9.779,0.56,-1.96E-06,4.814,0.01,3125.288,245.056,0.148,0.003,75.036,60.905,1.766,0.088,1.79E+06,0,0.952,0.46,0.461,0.279,0.06,0.121,0.081,0.14,1.38E-04,0,0,0,0,0.003,0.004,8,50.265,74.932,0.021,2.091,-0.278,761.22,331.13,0.05,0.074
11.66,1001.84,27.5,-10.053,28.092,10.054,75.451,0.024,75.451,0.018,5.736,0.12,20,-103.599,9.779,0.434,-3.21E-06,5.236,0.012,3125.288,245.056,0.148,0.003,75.132,60.905,1.778,0.086,1.76E+06,0,0.918,0.46,0.461,0.279,0.06,0.121,0.062,0.108,2.14E-04,0,0,0,0,0.003,0.004,8,50.265,74.68,0.022,2.022,-0.287,761.086,331.125,0.05,0.074
11.71,1003.202,26.997,-10.048,27.599,10.049,75.738,0.024,75.738,0.018,5.731,0.095,20,-103.599,9.779,0.176,0,5.392,0.031,3125.288,245.056,0.148,0.003,75.33,60.905,1.803,0.085,1.73E+06,0,0.885,0.46,0.46,0.279,0.06,0.121,0.025,0.042,-6.23E-05,0,0,0,0,0.003,0.004,8,50.265,74.413,0.023,1.889,-0.296,760.955,331.12,0.05,0.074
11.76,1004.54,26.495,-10.032,27.107,10.033,76.024,0.024,76.024,0.018,5.725,0.119,20,-103.599,9.779,0.485,-3.42E-06,5.676,-0.001,3125.288,245.056,0.148,0.003,75.091,60.905,1.773,0.083,1.70E+06,0,0.857,0.46,0.461,0.279,0.06,0.121,0.07,0.12,4.16E-04,0,0,0,0,0.004,0.004,8,50.265,74.137,0.025,2.048,-0.305,760.826,331.114,0.05,0.074
11.81,1005.852,25.994,-10.023,26.616,10.024,76.311,0.024,76.311,0.018,5.719,0.116,20,-103.599,9.779,0.485,-6.71E-06,6.026,-0.006,3125.288,245.056,0.148,0.003,75.091,60.905,1.773,0.082,1.67E+06,0,0.827,0.46,0.461,0.279,0.06,0.121,0.07,0.119,-4.62E-04,0,0,0,0,0.005,0.004,8,50.265,73.844,0.027,2.05,-0.313,760.7,331.109,0.05,0.074
11.86,1007.139,25.493,-10.017,26.125,10.018,76.596,0.025,76.596,0.018,5.714,0.099,20,-103.599,9.779,0.304,-1.40E-06,6.273,-0.01,3125.288,245.056,0.148,0.003,75.229,60.905,1.79,0.08,1.64E+06,0,0.796,0.46,0.46,0.279,0.06,0.121,0.044,0.073,-3.78E-04,0,0,0,0,0.005,0.004,8,50.265,73.536,0.029,1.967,-0.321,760.576,331.104,0.05,0.075
11.91,1008.401,24.992,-10.01,25.636,10.01,76.882,0.025,76.882,0.018,5.709,0.091,20,-103.599,9.779,0.236,-4.00E-06,6.441,-0.023,3125.288,245.056,0.148,0.003,75.281,60.905,1.797,0.079,1.61E+06,0,0.767,0.46,0.46,0.279,0.06,0.121,0.034,0.055,3.66E-04,0,0,0,0,0.006,0.004,8,50.265,73.218,0.03,1.94,-0.33,760.455,331.099,0.05,0.075
11.96,1009.638,24.492,-10.001,25.148,10.001,77.167,0.025,77.167,0.018,5.705,0.089,20,-103.599,9.779,0.232,-1.05E-05,6.572,-0.033,3125.288,245.056,0.148,0.003,75.284,60.905,1.797,0.077,1.58E+06,0,0.739,0.46,0.46,0.279,0.06,0.121,0.033,0.053,4.11E-04,0,0,0,0,0.006,0.003,8,50.265,72.893,0.032,1.942,-0.338,760.336,331.094,0.05,0.075
12.01,1010.85,23.992,-9.99,24.66,9.991,77.452,0.025,77.452,0.019,5.7,0.095,20,-103.599,9.779,0.348,-1.75E-06,6.734,-0.033,3125.288,245.056,0.148,0.003,75.194,60.905,1.786,0.076,1.55E+06,0,0.713,0.46,0.46,0.279,0.06,0.121,0.05,0.082,8.18E-05,0,0,0,0,0.007,0.003,8,50.265,72.56,0.033,1.997,-0.346,760.219,331.09,0.05,0.075
12.06,1012.038,23.493,-9.978,24.173,9.978,77.737,0.025,77.737,0.019,5.695,0.108,20,-103.599,9.779,0.568,-4.69E-06,6.993,-0.028,3125.288,245.056,0.148,0.003,75.025,60.905,1.765,0.075,1.52E+06,0,0.688,0.46,0.46,0.279,0.06,0.121,0.082,0.138,1.26E-04,0,0,0,0,0.008,0.003,8,50.265,72.217,0.034,2.098,-0.353,760.105,331.085,0.05,0.075
12.11,1013.2,22.994,-9.965,23.688,9.966,78.022,0.025,78.022,0.019,5.689,0.122,20,-103.599,9.779,0.82,-7.24E-06,7.377,-0.026,3125.288,245.056,0.148,0.003,74.836,60.905,1.741,0.073,1.50E+06,0,0.665,0.46,0.461,0.279,0.06,0.121,0.12,0.199,-4.80E-04,0,0,0,0,0.009,0.003,8,50.265,71.859,0.035,2.211,-0.361,759.993,331.08,0.05,0.075
12.16,1014.337,22.496,-9.955,23.203,9.955,78.306,0.026,78.306,0.019,5.683,0.127,20,-103.599,9.779,0.946,-3.43E-06,7.88,-0.025,3125.288,245.056,0.148,0.003,74.742,60.905,1.73,0.072,1.47E+06,0,0.64,0.46,0.461,0.279,0.06,0.121,0.138,0.229,-3.56E-04,0,0,0,0,0.01,0.003,8,50.265,71.478,0.036,2.27,-0.368,759.883,331.076,0.05,0.076
12.21,1015.449,21.999,-9.952,22.72,9.953,78.59,0.026,78.59,0.019,5.677,0.105,20,-103.599,9.779,0.656,-8.87E-06,8.261,-0.035,3125.288,245.056,0.148,0.003,74.957,60.905,1.756,0.071,1.44E+06,0,0.612,0.46,0.46,0.279,0.06,0.121,0.095,0.155,4.18E-04,0,0,0,0,0.012,0.003,8,50.265,71.073,0.036,2.148,-0.375,759.776,331.071,0.05,0.076
12.26,1016.537,21.501,-9.945,22.237,9.946,78.874,0.026,78.874,0.019,5.672,0.1,20,-103.599,9.779,0.626,-2.21E-06,8.554,-0.037,3125.288,245.056,0.148,0.003,74.98,60.905,1.759,0.069,1.41E+06,0,0.588,0.46,0.46,0.279,0.06,0.121,0.091,0.146,1.85E-04,0,0,0,0,0.013,0.003,8,50.265,70.652,0.036,2.142,-0.382,759.672,331.067,0.05,0.076
12.31,1017.6,21.004,-9.935,21.755,9.936,79.157,0.026,79.157,0.019,5.667,0.105,20,-103.599,9.779,0.768,-2.96E-06,8.9,-0.033,3125.288,245.056,0.148,0.003,74.873,60.905,1.746,0.068,1.38E+06,0,0.565,0.46,0.461,0.279,0.06,0.121,0.112,0.181,4.32E-04,0,0,0,0,0.015,0.003,8,50.265,70.216,0.037,2.208,-0.389,759.569,331.063,0.05,0.076
12.36,1018.637,20.508,-9.931,21.275,9.931,79.441,0.026,79.441,0.019,5.662,0.092,20,-103.599,9.779,0.584,1.37E-06,9.172,-0.041,3125.288,245.056,0.148,0.003,75.01,60.905,1.763,0.066,1.35E+06,0,0.54,0.46,0.46,0.279,0.06,0.121,0.084,0.132,-3.47E-04,0,0,0,0,0.016,0.003,8,50.265,69.764,0.037,2.136,-0.396,759.469,331.059,0.05,0.076
12.41,1019.65,20.011,-9.925,20.796,9.926,79.724,0.027,79.724,0.019,5.658,0.085,20,-103.599,9.779,0.496,-8.87E-06,9.412,-0.047,3125.288,245.056,0.148,0.003,75.077,60.905,1.771,0.065,1.32E+06,0,0.517,0.46,0.46,0.28,0.06,0.121,0.071,0.109,-7.33E-05,0,0,0,0,0.018,0.003,8,50.265,69.299,0.036,2.103,-0.403,759.372,331.055,0.05,0.076
12.46,1020.639,19.515,-9.925,20.318,9.925,80.006,0.027,80.006,0.019,5.654,0.065,20,-103.599,9.779,0.112,-3.97E-06,9.488,-0.185,3125.288,245.056,0.148,0.003,75.373,60.905,1.808,0.063,1.29E+06,0,0.491,0.46,0.46,0.28,0.06,0.121,0.016,0.009,1.63E-05,0,0,0,0,0.019,0.003,8,50.265,68.826,0.036,1.949,-0.409,759.277,331.051,0.05,0.077
12.51,1021.602,19.019,-9.919,19.841,9.919,80.289,0.027,80.289,0.019,5.651,0.059,20,-103.599,9.779,0.031,-2.05E-06,9.469,-0.631,3125.288,245.056,0.148,0.003,75.436,60.905,1.816,0.062,1.26E+06,0,0.469,0.46,0.46,0.28,0.06,0.12,0.004,-0.013,6.80E-05,0,0,0,0,0.02,0.003,8,50.265,68.351,0.036,1.91,-0.415,759.184,331.047,0.05,0.077
12.56,1022.54,18.523,-9.913,19.365,9.913,80.571,0.027,80.571,0.019,5.648,0.055,20,-103.599,9.779,0.047,-5.20E-06,-9.462,-0.389,3125.288,245.056,0.148,0.003,75.423,60.905,1.815,0.06,1.23E+06,0,0.447,0.46,0.46,0.28,0.06,0.12,0.007,0.033,2.20E-04,0,0,0,0,-0.021,0.003,8,50.265,67.877,0.036,1.864,-0.422,759.094,331.043,0.05,0.077
12.61,1023.454,18.028,-9.908,18.891,9.908,80.854,0.027,80.854,0.019,5.645,0.05,20,-103.599,9.779,0.112,-3.74E-06,-9.367,-0.15,3125.288,245.056,0.148,0.003,75.371,60.905,1.808,0.059,1.20E+06,0,0.426,0.46,0.46,0.28,0.06,0.12,0.016,0.051,-3.16E-04,0,0,0,0,-0.022,0.003,8,50.265,67.406,0.036,1.815,-0.427,759.006,331.04,0.05,0.077
12.66,1024.343,17.533,-9.894,18.418,9.894,81.136,0.028,81.136,0.02,5.642,0.068,20,-103.599,9.779,0.382,-2.04E-06,9.432,-0.046,3125.288,245.056,0.148,0.003,75.162,60.905,1.782,0.058,1.17E+06,0,0.409,0.459,0.46,0.28,0.06,0.12,0.055,0.075,1.32E-04,0,0,0,0,0.023,0.003,8,50.265,66.937,0.035,1.962,-0.433,758.92,331.036,0.05,0.077
